"","X1","X2"
"1",-0.671460076804263,1.3661107730852
"2",-0.613949775050723,1.29315140057029
"3",-0.646848067047604,1.15021201386452
"4",-0.597946850100436,1.15357149866342
"5",-0.561914281873078,1.41274889683688
"6",-0.66752716360788,1.10178617217872
"7",-0.68821820783196,1.25772793912996
"8",-0.668006251538486,1.18428060180045
"9",-0.698731928075778,1.22104093424572
"10",-0.691465351955424,1.02383123989188
"11",-0.673826632971652,1.33818510788856
"12",-0.682331357919349,1.30038977540835
"13",-0.727772418116348,1.21976085771629
"14",-0.634614250674538,1.26310740076504
"15",-0.652647565886345,1.14865662004788
"16",-0.694289787572592,1.10206469968834
"17",-0.65212581130542,1.11137939210586
"18",-0.678635632714028,1.19539326981546
"19",-0.576885169822479,1.14729030951667
"20",-0.646993872835081,1.23598598740071
"21",-0.69917817523291,1.21784745551174
"22",-0.594289965710437,1.28137738298932
"23",-0.655456458167943,1.17517247934905
"24",-0.746748673977362,1.36398784310371
"25",-0.720918675038846,1.31642781617788
"26",-0.574041482353072,1.05105670272839
"27",-0.626664969086584,1.19465137983333
"28",-0.725778809577195,1.04245648468002
"29",-0.727059920850854,1.16199899079289
"30",-0.720967297009137,1.31010526022016
"31",-0.565716121221308,1.07011799501812
"32",-0.622918465261902,1.31996328514681
"33",-0.642773948477441,1.10397883848862
"34",-0.662460266727239,1.19244005432042
"35",-0.632714625403743,1.18125532577602
"36",-0.61467028948161,1.18099502661098
"37",-0.611369089866658,1.09902094605202
"38",-0.712180132411248,1.62035002532524
"39",-0.675423273247229,1.26275187345083
"40",-0.629507483949019,1.16772553109298
"41",-0.634725186680742,1.27134752773505
"42",-0.666641481177174,1.23444664779118
"43",-0.658738570874803,1.48515301681164
"44",-0.689566334989577,1.09333166687261
"45",-0.655606594764742,1.26424082555148
"46",-0.638226907942351,1.17081389037137
"47",-0.703600931641542,1.3800094517825
"48",-0.672493909488792,1.12133903867923
"49",-0.667552409657566,1.20255252999512
"50",-0.608875525850214,1.2368094321465
"51",-0.624386697837745,1.16584065218359
"52",-0.647906640750275,1.18705805017286
"53",-0.653131062499694,1.11771173230871
"54",-0.714387654846034,1.46920546573443
"55",-0.631070552713558,1.07446329187486
"56",-0.683892600548126,1.08245797054586
"57",-0.561414017761251,1.38599140658276
"58",-0.668810571185491,1.29251916605923
"59",-0.675313536730044,1.16864099834038
"60",-0.691626552932447,1.15425712956921
